image_name,x1,x2,y1,y2
1474723840903DSC08089.png,235.11241,447.2767,102.650826,413.42776,-54940.91692951317
1473231475010DeeplearnS11276.png,71.06232,594.1739,153.82983,371.79865,-20296.779630935605
JPEG_20161205_135307_1000155917326.png,138.63512,492.378,67.0446,435.52484,26362.003479308783
JPEG_20160711_123440_1000518778437.png,224.84322,441.18924,102.60982,411.34222,48694.236014951995
JPEG_20160803_115329_100034020722.png,132.28752,507.19797,46.5055,447.84146,146869.61757586797
147444974116511473239803010-Mast--Harbour-Men-Blue-Printed-Regular-Boat-Shoes-3651473239802717-2.png,132.41846,421.96176,34.51257,476.6365,-62730.46853116902
JPEG_20160622_110649_1000527459853.png,153.04243,503.7932,119.89514,358.50992,44162.80878161937
JPEG_20160823_120737_1000784898268.png,88.3004,452.97232,56.93286,399.50314,-74196.34352946239
1480965956645IMG_3094.png,204.03543,488.0745,190.48999,330.17676,153238.57239789612
14732348976417a565e40d545452688130062b267a2d2.png,32.42432,607.54816,23.3225,482.40402,-5019.315294163127
1474723374370DSC07852.png,254.97592,425.73438,29.476862,451.5964,76337.17251520853
JPEG_20160820_111118_100011668802.png,256.98,372.3528,119.74715,413.59647,-135169.822795504
JPEG_20160706_105226_100087855419.png,155.72726,458.40628,179.11769,289.49426,5857.335038561385
JPEG_20160621_155839_100073846506.png,206.37837,442.3974,96.89738,411.75717,49615.76609819631
1480940089861_R2A1904.png,186.87845,455.37988,249.35457,399.63373,66558.56413080118
1474637513144DSC06780.png,221.55386,419.2023,74.33326,431.43283,93991.97831482916
JPEG_20161123_170015_1000183903221.png,284.86017,378.7969,32.0297,415.8102,-28749.557692234994
JPEG_20161205_152655_1000319785884.png,50.202877,468.51117,61.512672,410.33707,76483.3775241326
14806550588121473324459p2-500x500.png,157.78418,489.95065,85.15405,426.0336,-132506.41698131151
JPEG_20160913_110021_1000554801748.png,88.59441,604.51514,130.27782,340.05878,21796.768023300785
JPEG_20161028_113656_1000884495593.png,76.978355,552.0448,90.904564,441.30182,-101125.36976632505
1480485006674IMG_20161129_181135.png,33.51231,637.21185,101.22619,416.06613,-41450.84313837241
1468666217374JPEG_20160712_164026_1000951901481.png,62.667755,623.95917,197.84438,296.0604,-166287.98912853168
1475159286472DSC08150.png,258.58746,425.47076,156.94075,403.5,88116.98346447502
1473662770499DeeplearnS11593.png,-2.99626,615.61755,46.755337,409.37592,17434.80814674875
JPEG_20161121_172423_1000451802749.png,155.27966,574.0709,142.80154,409.54596,53458.9897551192
JPEG_20160711_112635_1000386061474.png,186.4186,622.8275,197.36348,318.78568,19492.31117241999
JPEG_20161125_170806_1000294132098.png,166.19423,442.51273,63.2617,441.00018,39011.08411412001
1473664771684DeeplearnS11641.png,75.93696,586.2575,152.46077,333.71353,-5933.423859690389
JPEG_20161125_142000_1000881308475.png,113.61229,441.4575,64.64855,454.84274,-79323.65843867011
JPEG_20161118_130619_1000234318180.png,183.13786,542.1764,99.54757,393.04404,-104400.89199604624
JPEG_20161126_173920_1000722732321.png,69.769005,536.92316,11.231729,492.16098,19932.194205687905
1480965914378IMG_3091.png,223.03122,460.10538,301.21793,412.82645,163485.8554531568
JPEG_20161028_113801_1000834228994.png,47.187447,469.45734,85.188416,358.85107,-118779.73601952399
JPEG_20160527_132045_1000754722948.png,175.34096,420.68936,15.346456,469.28244,-90167.20232317438
1474630500639DSC08168.png,72.44976,581.6943,70.00138,445.8106,-23548.57487334119
1480604337122_R2A5871.png,266.06052,518.28253,84.35254,403.59882,30609.63875337722
JPEG_20160526_131015_1000774672877.png,120.54491,484.97177,76.405136,437.94797,-6266.914850121204
JPEG_20161124_133820_1000408773191.png,229.17917,409.84262,19.399755,452.361,-60262.92606200477
JPEG_20161202_175058_1000981167934.png,172.32822,606.862,169.60857,331.50967,-82197.28263084199
JPEG_20160628_125830_1000217908431.png,158.91554,485.0354,157.36711,391.42245,4778.881613052421
JPEG_20160820_160507_1000249071692.png,123.101006,582.3441,215.99832,323.65286,-124627.19546725324
JPEG_20160805_183420_1000172602371.png,20.848661,625.08746,129.09999,285.17755,-206624.93171479955
JPEG_20161130_165327_1000403284746.png,26.515158,647.40936,220.68358,375.18222,-61027.25408911474
JPEG_20160607_164241_1000166500949.png,164.96886,448.08978,122.82705,418.07773,37405.087897774385
JPEG_20160625_121426_1000756352197.png,102.9018,593.19086,148.31609,312.77142,-21701.723557689795
147771816901820161028_154719.png,11.468394,654.0756,91.90306,348.10205,58898.054397998
JPEG_20161011_163049_1000951839162.png,36.306576,624.7948,188.58095,324.38077,136950.90166868037
JPEG_20161117_185714_1000710683582.png,121.92701,517.58386,108.40241,366.0646,125529.27103049855
JPEG_20161130_152547_1000951985749.png,134.32964,574.3587,133.69339,329.35202,124716.52600021216
JPEG_20161208_180645_1000228838877.png,142.40823,468.34195,0.25789216,479.52945,-38526.35340698635
